	input_L_num	mapped_L_num	input_R_num	mapped_R_num	per_mapped
C11	1760565	1270257	1760565	1270257	73.6
C14	4491493	3465894	4491493	3465894	78.6
C15	317650	181615	317650	181615	59.0
C18	1031837	678904	1031837	678904	67.2
C22	2436969	1984589	2436969	1984589	82.5
C23	1426193	1108558	1426193	1108558	79.0
C25	681241	334143	681241	334143	50.8
C26	2645735	2056932	2645735	2056932	78.9
C28	236773	133497	236773	133497	57.7
C31	541666	325793	541666	325793	62.0
C32	479812	229274	479812	229274	49.9
C33	788844	310650	788844	310650	41.1
C35	411319	200835	411319	200835	50.2
C36	748369	389256	748369	389256	53.4
C37	2059408	1596932	2059408	1596932	78.7
C38	451340	175466	451340	175466	40.4
C39	1586	190	1586	190	11.3
C43	3383392	2452934	3383392	2452934	74.0
C44	2654672	1888054	2654672	1888054	72.6
C46	284063	148239	284063	148239	53.4
C48	595754	326754	595754	326754	56.1
C50	3285014	2637050	3285014	2637050	81.4
C51	4552368	3911181	4552368	3911181	87.0
C53	816436	331779	816436	331779	42.1
C54	455745	292074	455745	292074	65.4
C55	2624641	2205292	2624641	2205292	85.1
C56	632463	450671	632463	450671	72.5
C57	4350032	3704426	4350032	3704426	86.2
C58	1282919	1021144	1282919	1021144	80.9
C59	1012642	634604	1012642	634604	64.0
C60	240349	162963	240349	162963	69.5
C62	229596	102243	229596	102243	45.8
C63	219820	126063	219820	126063	58.4
C64	1796348	1362072	1796348	1362072	77.0
C68	1350576	1053785	1350576	1053785	78.9
C69	613380	402060	613380	402060	67.4
C7	1866850	1470062	1866850	1470062	80.0
C71	545346	274695	545346	274695	52.8
C72	642162	305215	642162	305215	49.2
C73	577637	321165	577637	321165	56.6
C74	794349	545417	794349	545417	70.5
C75	3935826	3341409	3935826	3341409	85.6
C76	2203209	1830083	2203209	1830083	84.3
C79	4073388	3518023	4073388	3518023	87.4
C83	278332	176378	278332	176378	64.6
C84	540109	319593	540109	319593	61.3
C88	900329	611279	900329	611279	69.6
C89	3257306	2767288	3257306	2767288	86.1
C90	555056	298082	555056	298082	55.7
C92	1979090	1659935	1979090	1659935	84.9
C93	2549021	2123406	2549021	2123406	84.2
C95	527341	360154	527341	360154	69.3
sca+spc	12855248	11062797	12855248	11062797	87.2
sca+spc+1	13001443	11123260	13001443	11123260	86.5
sca+spc+2	7415922	6126390	7415922	6126390	83.7
sca-spc	1170923	519883	1170923	519883	45.8
sca_C11	1760565	1270786	1760565	1270786	73.7
sca_C14	4491493	3467400	4491493	3467400	78.7
sca_C15	317650	181615	317650	181615	59.0
sca_C18	1031837	678911	1031837	678911	67.2
sca_C22	2436969	1985248	2436969	1985248	82.5
sca_C23	1426193	1108745	1426193	1108745	79.0
sca_C25	681241	334148	681241	334148	50.8
sca_C26	2645735	2057611	2645735	2057611	79.0
sca_C28	236773	133501	236773	133501	57.7
sca_C31	541666	325822	541666	325822	62.0
sca_C32	479812	229293	479812	229293	49.9
sca_C33	788844	310650	788844	310650	41.1
sca_C35	411319	200837	411319	200837	50.2
sca_C36	748369	389260	748369	389260	53.4
sca_C37	2059408	1597336	2059408	1597336	78.7
sca_C38	451340	175466	451340	175466	40.4
sca_C39	1586	190	1586	190	11.3
sca_C43	3383392	2453372	3383392	2453372	74.0
sca_C44	2654672	1888808	2654672	1888808	72.6
sca_C46	284063	148239	284063	148239	53.4
sca_C48	595754	326756	595754	326756	56.1
sca_C50	3285014	2637451	3285014	2637451	81.5
sca_C51	4552368	3911641	4552368	3911641	87.0
sca_C53	816436	331782	816436	331782	42.1
sca_C54	455745	292074	455745	292074	65.4
sca_C55	2624641	2205879	2624641	2205879	85.2
sca_C56	632463	450710	632463	450710	72.5
sca_C57	4350032	3705039	4350032	3705039	86.3
sca_C58	1282919	1021200	1282919	1021200	80.9
sca_C59	1012642	634743	1012642	634743	64.0
sca_C60	240349	162963	240349	162963	69.5
sca_C62	229596	102243	229596	102243	45.8
sca_C63	219820	126063	219820	126063	58.4
sca_C64	1796348	1362569	1796348	1362569	77.1
sca_C68	1350576	1054112	1350576	1054112	78.9
sca_C69	613380	402116	613380	402116	67.4
sca_C7	1866850	1470472	1866850	1470472	80.0
sca_C71	545346	274704	545346	274704	52.8
sca_C72	642162	305349	642162	305349	49.2
sca_C73	577637	321218	577637	321218	56.6
sca_C74	794349	545466	794349	545466	70.5
sca_C75	3935826	3342083	3935826	3342083	85.7
sca_C76	2203209	1830343	2203209	1830343	84.4
sca_C79	4073388	3518586	4073388	3518586	87.4
sca_C83	278332	176378	278332	176378	64.6
sca_C84	540109	319615	540109	319615	61.3
sca_C88	900329	611742	900329	611742	69.7
sca_C89	3257306	2767857	3257306	2767857	86.1
sca_C90	555056	298140	555056	298140	55.7
sca_C92	1979090	1660325	1979090	1660325	84.9
sca_C93	2549021	2123811	2549021	2123811	84.2
sca_C95	527341	360165	527341	360165	69.3
