	Metric	Percent	Condition
0	Percent TCF+ Proliferating	1.2	Saline
1	Percent TCF+ Proliferating	1	Saline
2	Percent TCF+ Proliferating	2.4	Saline
3	Percent TCF+ Proliferating	1.3	Saline
4	Percent TCF+ Proliferating	5.2	Bleomycin
5	Percent TCF+ Proliferating	4.2	Bleomycin
6	Percent TCF+ Proliferating	8.6	Bleomycin
7	Proliferating PDGFRA	2.2	Saline
8	Proliferating PDGFRA	0.7	Saline
9	Proliferating PDGFRA	0.7	Saline
10	Proliferating PDGFRA	1.6	Saline
11	Proliferating PDGFRA	2.8	Bleomycin
12	Proliferating PDGFRA	2.1	Bleomycin
13	Proliferating PDGFRA	0.6	Bleomycin
